,train_name,train_number,source,destination,distance,total_time,departure,arrival
888,Chennai Beach TambaramEMU,40045,CHENNAI BEACH,TAMBARAM,29,0 days 00:55:00,09:57:00,10:52:00
889,PATHANKOT - BAIJNATHPAPROLA PASSENGER,52469,PATHANKOT,BAIJNATH PAPROLA,141,0 days 06:40:00,15:50:00,22:30:00
890,Bhagalpur Banka Passenger,53448,BHAGALPUR,Banka,53,0 days 02:15:00,17:25:00,19:40:00
891,Chhapra Bhatni Passenger,55010,CHHAPRA,BHATNI JN,110,0 days 03:10:00,17:25:00,20:35:00
892,Barhaj Bazar Bhatni Passenger,55102,Barhaj Bazar,BHATNI JN,0,0 days 01:55:00,10:20:00,12:15:00
893,Bhatani Barhaj Passenger,55103,BHATNI JN,Barhaj Bazar,0,0 days 01:30:00,15:25:00,16:55:00
894,Bhatni Chhapra Passenger,55118,BHATNI JN,SIWAN JN,49,0 days 01:20:00,17:10:00,18:30:00
895,Bhatani Manduadih Passenger,55123,BHATNI JN,MANDUADIH,165,0 days 05:55:00,14:05:00,20:00:00
896,Ratnachal SF Express,12717,VISHAKAPATNAM,VIJAYAWADA JN,351,0 days 06:05:00,12:30:00,18:35:00
897,Ratnachal SF Express,12718,VIJAYAWADA JN,VISHAKAPATNAM,351,0 days 06:00:00,06:05:00,12:05:00
898,Dakshin SF Express,12721,HYDERABAD DECCAN,DELHI H NIZAMUDDIN,1670,1 days 05:35:00,22:30:00,04:05:00
899,Dakshin SF Express,12722,DELHI H NIZAMUDDIN,HYDERABAD DECCAN,1670,1 days 06:10:00,22:50:00,05:00:00
900,Andhra Pradesh Express,12723,HYDERABAD DECCAN,NEW DELHI,1677,1 days 02:40:00,06:25:00,09:05:00
901,Andhra Pradesh Express,12724,NEW DELHI,HYDERABAD DECCAN,1677,1 days 02:20:00,17:30:00,19:50:00
902,Godavari SF Express,12727,VISHAKAPATNAM,HYDERABAD DECCAN,711,0 days 12:50:00,17:25:00,06:15:00
903,Godavari SF Express,12728,HYDERABAD DECCAN,VISHAKAPATNAM,711,0 days 12:35:00,17:15:00,05:50:00
904,Pune-Nanded Express,12729,PUNE JN,HUZUR SAHIB NANDED,662,0 days 12:00:00,22:00:00,10:00:00
